PrName,Out.SubInd,Product.Simple,Observations,Studies
Biochar-Combo,Biomass Yield,Maize,4,1
Biochar-Combo,Soil Moisture,Common Bean,9,1
Biochar-Combo,Soil Organic Carbon,Common Bean,3,1
Biochar-Combo,Crop Yield,Common Bean,3,1
Biochar-Combo,Water Use Efficiency,Common Bean,3,1
Biochar-Combo,Gross Return,Common Bean,3,1
Biochar-Combo,Cation Exchange Capacity,Common Bean,3,1
Biochar-Combo,Total Cost (Unconfirmed),Common Bean,3,1
Biochar-Combo,Net Return,Common Bean,3,1
Biochar-Combo,Crop Yield,Maize,5,1
Alleycropping-Combo,Crop Yield,Common Bean,4,1
Alleycropping-Combo,Biomass Yield,Sorghum,48,1
Alleycropping-Combo,Crop Yield,Sorghum,24,1
Parklands-Combo,Cation Exchange Capacity,Coffee-Natural Fallow,7,1
Parklands-Combo,Nitrous Oxide Emissions,Coffee-Natural Fallow,81,1
Parklands-Combo,Soil Carbon Stocks,Coffee-Natural Fallow,7,1
Crop Residue-Combo,Crop Yield,Cabbage,1,1
Crop Residue-Combo,Crop Yield,Common Bean,2,1
Crop Residue-Combo,Crop Residue Yield,Common Bean,2,1
Crop Residue-Combo,Crop Yield,Soybean,18,1
Crop Residue-Combo,Cation Exchange Capacity,Horsegram-Maize,2,1
Crop Residue-Combo,Cation Exchange Capacity,Maize-Pumpkin,2,1
Crop Residue-Combo,Crop Residue Yield,Maize,2,1
Crop Residue-Combo,Soil Moisture,Maize,1,1
Crop Residue-Combo,Soil Moisture,Wheat,1,1
Crop Residue-Combo,Soil Total Nitrogen,Maize,3,1
Crop Residue-Combo,Soil Total Nitrogen,Wheat,3,1
Crop Residue-Combo,Soil Organic Carbon,Maize,3,1
Crop Residue-Combo,Soil Organic Carbon,Wheat,3,1
Crop Residue-Combo,Crop Yield,Wheat,5,1
Crop Residue-Combo,Biodiversity,Wheat,13,1
Crop Residue-Combo,Biodiversity,Maize,8,1
Crop Residue-Combo,Biomass Yield,Maize,20,1
Crop Residue-Combo,Runoff,Maize,18,1
Crop Residue-Combo,Erosion,Maize,18,1
Crop Residue-Combo,Crop Yield,Barley,9,1
Crop Residue-Combo,Water Use Efficiency,Barley,9,1
Crop Residue-Combo,Water Use Efficiency,Maize,9,1
Green Manure-Combo,Crop Yield,Wheat,8,1
